"Series Data"
"C:\Data\SMARC_20170927\SMARC_20170927006_000000.STA"
"Broadband 153.6 kHz"
"Pings/Ens ="	8
"Time/Ping = 00:01.00"
"First Ensemble Date = 18/12/10"
"First Ensemble Time = 10:42:36.08"
"Ensemble Interval (s) = "	20,00
"1st Bin Range (m) = "	14,95
"Bin Size (m) ="	8,00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"BTM"	"NVE"	"NVN"	"NVM"	"NVD"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
662	18	12	10	14	22	58	00		-69	-87	-38	-40																																										29	-10	8	-21																																										-76	-41	-7	-4																																										0	-11	29	-10																																										75	88	39	45																																										292,80	263,40	281,90	242,30																																										5078	3749	3210	4935	49,40	58,27613331	11,47851666	58,27671669	11,47978334
663	18	12	10	14	23	19	01		-79	-29	-67	-11																																										110	39	0	-14																																										-63	-18	-13	-7																																										-20	-12	9	-11																																										135	49	67	18																																										324,30	323,40	270,00	218,20																																										5069	3749	3359	5034	48,10	58,27678333	11,47990001	58,27725003	11,48093333
664	18	12	10	14	23	37	06		-46	-99	-58																																											91	15	39																																											-86	-49	-24																																											-9	-27	-5																																											102	100	70																																											333,20	278,60	303,90																																											5071	3810	3287	5032	49,20	58,27731667	11,48106669	58,27789997	11,48234996
665	18	12	10	14	23	58	07		-70	-70	39																																											40	121	27																																											-71	-28	-36																																											-1	17	7																																											81	140	47																																											299,70	330,00	55,30																																											5102	3795	3447	5127	47,70	58,27796669	11,48248332	58,27844999	11,48351664
666	18	12	10	14	24	17	02		-56	-141	39																																											-33	52	28																																											-47	-32	19																																											29	15	26																																											65	150	48																																											239,50	290,20	54,30																																											5114	3728	3326	4996	48,30	58,27850003	11,48363331	58,27911668	11,48491667
667	18	12	10	14	24	38	03		-39	16	-276																																											150	324	271																																											-100	-216	-192																																											128	93	256																																											155	324	387																																											345,40	2,80	314,50																																											5075	3702	3448	5059	47,00	58,27918332	11,48505002	58,27966671	11,48604998
668	18	12	10	14	24	56	08		-43	-52	-1																																											-186	80	65																																											-5	-34	-11																																											-127	4	12																																											191	95	65																																											193,00	327,00	359,10																																											5046	3585	3442	4970	46,20	58,27973334	11,48618334	58,28028336	11,48728330
669	18	12	10	14	25	17	09		94	-56	-113	20																																										-132	-102	-167	6																																										29	28	44	1																																										13	-107	-162	-132																																										162	116	202	21																																										144,50	208,80	214,10	73,30																																										5100	3341	3712	4994	42,00	58,28035000	11,48739997	58,28101669	11,48853337
670	18	12	10	14	25	39	01		-41	-55	-48	-38																																										-2	80	87	47																																										-70	-22	-18	-15																																										50	29	44	-13																																										41	97	99	60																																										267,20	325,50	331,10	321,00																																										5068	2817	4243	5093	33,60	58,28110001	11,48864997	58,28169999	11,48941666
671	18	12	10	14	25	57	05		-244	-241	-236	-211	-218																																									74	89	16	20	6																																									-7	47	46	46	47																																									113	143	150	146	208																																									255	257	237	212	218																																									286,90	290,30	273,90	275,40	271,60																																									5039	2505	4486	5138	29,20	58,28178330	11,48951665	58,28256668	11,49034998
672	18	12	10	14	26	18	07		-96	-73	-38	-45	26																																									239	196	263	236	179																																									-17	41	35	57	60																																									-124	-180	-177	-140	-170																																									258	209	266	240	181																																									338,10	339,60	351,80	349,20	8,30																																									5002	2444	4375	5012	29,20	58,28264999	11,49043330	58,28326665	11,49110000
673	18	12	10	14	26	37	02		-68	-38	-26	-46	-56																																									75	86	38	15	-51																																									-69	-33	-39	-7	-7																																									16	7	32	25	10																																									101	94	46	48	76																																									317,80	336,20	325,60	288,10	227,70																																									5043	2546	4022	4760	32,30	58,28333337	11,49118331	58,28406670	11,49206668
674	18	12	10	14	26	58	03		-91	-61	10	-19	-45																																									135	52	6	16	4																																									-59	-12	5	0	24																																									23	28	78	14	18																																									163	80	12	25	45																																									326,00	310,40	59,00	310,10	275,10																																									5080	2630	4066	4843	32,90	58,28413334	11,49215000	58,28473331	11,49288333
675	18	12	10	14	27	16	08		-99	-67	-77	-29	-28																																									121	53	83	35	31																																									-58	-44	-4	-5	-7																																									6	73	-57	22	42																																									156	85	113	45	42																																									320,70	308,30	317,10	320,40	317,90																																									4696	2587	4254	4979	31,30	58,28481663	11,49298333	58,28548333	11,49376670
676	18	12	10	14	27	37	09		-93	-100	-84	-43	-46																																									78	160	126	28	31																																									-47	-44	-8	-3	-3																																									29	12	-12	-1	-22																																									121	189	151	51	55																																									310,00	328,00	326,30	303,10	304,00																																									3411	1813	3132	3619	30,10	58,28554996	11,49383334	58,28609998	11,49444999
677	18	12	10	14	27	59	00		-83	-31	-8	-38	-28																																									77	136	78	52	37																																									-43	-26	-17	-3	-6																																									-4	-11	-4	-1	17																																									113	139	78	64	46																																									312,90	347,20	354,10	323,80	322,90																																									2574	1210	2519	2795	25,70	58,28616670	11,49450003	58,28649997	11,49481670
678	18	12	10	14	28	17	05		-51	-34	-19	-5	-29																																									109	87	85	40	33																																									-34	-14	-9	-4	0																																									10	27	5	-8	-11																																									120	93	87	40	44																																									334,90	338,70	347,40	352,90	318,70																																									1950	672	1934	2047	19,20	58,28653333	11,49484998	58,28686668	11,49506665
679	18	12	10	14	28	38	06		-17	20	-2	-8	-27																																									103	93	88	40	36																																									-31	-14	-1	5	6																																									14	-5	9	14	6																																									104	95	88	41	45																																									350,60	12,10	358,70	348,70	323,10																																									1563	163	1459	1468	6,40	58,28690004	11,49508333	58,28710003	11,49510001
680	18	12	10	14	28	57	01		-7	36	-27	-9	-37																																									92	47	56	39	52																																									-19	-15	-19	-11	-7																																									1	4	-33	-8	7																																									92	59	62	40	64																																									355,60	37,50	334,30	347,00	324,60																																									839	-489	851	981	330,10	58,28713330	11,49508333	58,28724998	11,49491670
681	18	12	10	14	29	18	02		35	64	59	53	34																																									30	41	42	-6	17																																									0	-16	2	-3	8																																									4	-3	-2	-3	8																																									46	76	72	53	38																																									49,40	57,40	54,60	96,50	63,40																																									1033	-795	310	853	291,30	58,28724998	11,49488334	58,28731670	11,49464998
682	18	12	10	14	29	39	04		-25	-13	-6	-23																																										72	37	73	32																																										-14	-21	-13	-8																																										-8	-14	11	-3																																										76	39	73	39																																										340,90	340,60	355,30	324,30																																										1229	-1071	1193	1603	318,10	58,28733330	11,49460003	58,28750001	11,49433332
683	18	12	10	14	29	57	08		-56	-53	-25	-22																																										50	45	77	36																																										-10	-21	-9	-7																																										13	-6	14	5																																										75	70	81	42																																										311,80	310,30	342,00	328,60																																										534	-265	696	745	339,20	58,28751669	11,49431664	58,28763337	11,49421664
684	18	12	10	14	30	19	00		-54	-32	-4	-14																																										40	44	55	39																																										-6	-14	-3	-9																																										20	-1	32	-18																																										67	54	55	41																																										306,50	324,00	355,80	340,30																																										215	-186	-88	206	244,60	58,28763337	11,49419996	58,28761669	11,49415000
685	18	12	10	14	30	37	05		-101	6	-28	-26																																										32	-37	-49	-31																																										45	-4	-1	-5																																										-120	41	17	48																																										106	37	56	40																																										287,60	170,80	209,70	220,00																																										172	-142	-232	272	211,60	58,28761669	11,49415000	58,28758333	11,49409996
686	18	12	10	14	30	57	00																																																																																																																																																																																																																																																																																	-91	-34	97	249,20	58,28758333	11,49409996	58,28756665	11,49406669
687	18	12	10	14	31	17	07		2	21	9	4																																										30	15	51	13																																										-25	-6	-3	-4																																										-1	-2	9	-6																																										30	26	52	14																																										3,80	54,50	10,00	17,10																																										172	0	-77	77	180,00	58,28756665	11,49406669	58,28754997	11,49406669
688	18	12	10	14	31	38	08		-20	-8	-1	16																																										15	2	30	-5																																										-28	-3	-11	-8																																										-3	24	28	15																																										25	8	30	17																																										306,90	284,00	358,10	107,40																																										137	140	-353	380	158,40	58,28754997	11,49408337	58,28750001	11,49409996
689	18	12	10	14	31	57	03		-32	-24	-12	-10																																										20	27	44	22																																										-14	-2	-9	-1																																										0	4	1	10																																										38	36	46	24																																										302,00	318,40	344,70	335,60																																										53	123	78	145	57,70	58,28750001	11,49409996	58,28751669	11,49413332
690	18	12	10	14	32	18	04		-28	-22	-15	-17																																										34	42	58	29																																										-3	-5	-11	-2																																										0	-11	1	15																																										44	47	60	34																																										320,50	332,40	345,50	329,60																																										14	0	-177	177	180,00	58,28751669	11,49413332	58,28750001	11,49413332
691	18	12	10	14	32	36	09		-16	-23	-20	-24																																										38	44	67	8																																										-9	-9	-17	-5																																										18	1	-8	10																																										41	50	70	25																																										337,20	332,40	343,40	288,40																																										69	-20	0	20	270,00	58,28750001	11,49413332	58,28750001	11,49411664
692	18	12	10	14	32	58	00		-20	-2	-12	-4																																										27	31	45	-1																																										5	-4	0	3																																										7	9	-1	3																																										34	31	47	4																																										323,50	356,30	345,10	256,00																																										13	-81	39	90	295,40	58,28748333	11,49411664	58,28750001	11,49409996
693	18	12	10	14	33	19	01		-12	13	-17	-23																																										31	38	50	21																																										4	-5	-9	-6																																										5	-3	-4	11																																										33	40	53	31																																										338,80	18,90	341,20	312,40																																										87	0	-44	44	180,00	58,28750001	11,49409996	58,28750001	11,49409996
694	18	12	10	14	33	37	06		-15	91	-172	-163																																										35	65	59	17																																										-1	-66	40	59																																										-11	-24	131	188																																										38	112	182	164																																										336,80	54,50	288,90	276,00																																										60	-20	0	20	270,00	58,28750001	11,49409996	58,28750001	11,49408337
695	18	12	10	14	33	58	08		-38	13	109	44																																										36	22	-15	20																																										4	-17	-61	10																																										-4	-7	-10	44																																										52	26	110	48																																										313,50	30,60	97,80	65,60																																										94	-23	0	23	270,00	58,28748333	11,49408337	58,28750001	11,49406669
696	18	12	10	14	34	17	02		-78	-51	-18	219																																										41	37	45	-15																																										16	8	-7	37																																										24	15	-1	110																																										88	63	48	220																																										297,70	306,00	338,20	93,90																																										103	-102	-116	154	221,30	58,28748333	11,49406669	58,28748333	11,49401665
697	18	12	10	14	34	38	04		-84	-39	-13	124																																										48	39	63	18																																										11	-7	-6	30																																										31	13	4	78																																										97	55	64	125																																										299,70	315,00	348,30	81,70																																										48	0	0	0	0,00	58,28748333	11,49401665	58,28748333	11,49401665
698	18	12	10	14	34	56	08		-34	-21	2	-12																																										28	20	-58	24																																										-5	6	24	1																																										25	-14	-50	25																																										44	29	58	27																																										309,50	313,60	178,00	333,40																																										75	-41	0	41	270,00	58,28748333	11,49401665	58,28748333	11,49399997
699	18	12	10	14	35	18	00		-21	-3	-9	-5																																										7	11	32	31																																										-10	-6	-8	-3																																										17	15	19	19																																										22	11	33	31																																										288,40	344,70	344,30	350,80																																										97	-123	-78	145	237,70	58,28748333	11,49398337	58,28746665	11,49396669
700	18	12	10	14	35	39	01		0	-11	-3	-13																																										22	24	53	29																																										0	-7	-1	12																																										22	-4	-8	26																																										22	26	53	32																																										0,00	335,40	356,80	335,90																																										98	-70	133	150	332,20	58,28746665	11,49396669	58,28748333	11,49395001
701	18	12	10	14	35	57	06		-14	-8	-31	-81																																										30	28	21	55																																										-9	-11	15	34																																										15	-3	5	75																																										33	29	37	98																																										335,00	344,10	304,10	304,20																																										198	61	232	240	14,80	58,28748333	11,49395001	58,28753337	11,49396669
702	18	12	10	14	36	18	07		-26	-93	137	18																																										40	31	45	41																																										-5	43	52	8																																										9	185	151	11																																										48	98	144	45																																										327,00	288,40	71,80	23,70																																										142	70	133	150	27,80	58,28753337	11,49396669	58,28754997	11,49398337
703	18	12	10	14	36	37	02		147	400	259	200																																										25	40	39	11																																										-52	-39	-42	-51																																										-126	-63	-48	-116																																										149	402	262	200																																										80,30	84,30	81,40	86,90																																										43	0	155	155	0,00	58,28756665	11,49398337	58,28756665	11,49398337
704	18	12	10	14	36	58	03		-25	11	-42	9																																										55	41	49	21																																										5	7	6	-10																																										10	60	76	12																																										60	42	65	23																																										335,60	15,00	319,40	23,20																																										101	70	0	70	90,00	58,28758333	11,49398337	58,28756665	11,49399997
705	18	12	10	14	37	16	08		-47	-53	-45	-18																																										39	36	48	10																																										2	0	-9	-11																																										1	16	11	8																																										61	64	66	21																																										309,70	304,20	316,80	299,10																																										124	61	-154	166	158,40	58,28756665	11,49399997	58,28754997	11,49401665
706	18	12	10	14	37	37	09		156	154	159	172																																										16	12	22	10																																										52	54	50	52																																										145	145	141	129																																										157	154	161	172																																										84,10	85,50	82,10	86,70																																										142	0	-116	116	180,00	58,28754997	11,49401665	58,28753337	11,49401665
707	18	12	10	14	37	59	00		-26	-24	12	68																																										-14	-17	-6	-22																																										-9	0	-1	16																																										7	12	23	32																																										30	29	13	71																																										241,70	234,70	116,60	107,90																																										216	70	-89	113	141,70	58,28753337	11,49401665	58,28751669	11,49403333
708	18	12	10	14	38	17	05		-43	-19	-23	1																																										-48	-24	-22	-25																																										-2	15	0	-4																																										17	4	-18	12																																										64	31	32	25																																										221,90	218,40	226,30	177,70																																										1208	998	425	1085	66,90	58,28753337	11,49405001	58,28760001	11,49438336
709	18	12	10	14	38	38	07		-21	-16	-28	5																																										-80	-61	-57	-43																																										-14	4	5	12																																										-8	-10	0	3																																										83	63	64	43																																										194,70	194,70	206,20	173,40																																										2119	1723	-928	1957	118,30	58,28758333	11,49444999	58,28744997	11,49491670
710	18	12	10	14	38	57	01		-191	-257	-197	-201	-184																																									-89	-68	-67	-61	-67																																									-93	-74	-61	-76	-66																																									-115	-151	-173	-147	-126																																									211	266	208	210	196																																									245,00	255,20	251,20	253,10	250,00																																									3011	1935	-2088	2847	137,20	58,28741670	11,49496665	58,28703331	11,49566662
711	18	12	10	14	39	18	03		-106	-70	-61	-12	-29																																									-36	-30	-26	-14	-7																																									-30	-17	-6	-1	-7																																									-1	-15	-1	16	2																																									112	76	66	18	30																																									251,20	246,80	246,90	220,60	256,40																																									3245	2305	-2387	3318	136,00	58,28700003	11,49573334	58,28665000	11,49638336
712	18	12	10	14	39	36	08		-91	-103	-73	-33	-32																																									-73	7	-7	-32	-3																																									-39	-32	-8	-2	10																																									2	28	21	3	33																																									117	103	73	46	32																																									231,30	273,90	264,50	225,90	264,60																																									2741	1996	-2050	2861	135,80	58,28661664	11,49645000	58,28628330	11,49706665
713	18	12	10	14	39	57	09		-111	-84	-44	-67	-37																																									-33	-31	-21	-23	-11																																									-56	-24	-12	4	-2																																									13	-3	-4	-3	15																																									116	90	49	71	39																																									253,40	249,70	244,50	251,10	253,40																																									2240	1792	-1392	2269	127,80	58,28625002	11,49713337	58,28599999	11,49773335
714	18	12	10	14	40	19	00		-105	-85	-26	32	-9																																									-1	-13	-35	-32	-9																																									-47	-25	1	19	3																																									43	3	17	-8	1																																									105	86	44	45	13																																									269,50	261,30	216,60	135,00	225,00																																									2138	1699	-1238	2102	126,10	58,28596663	11,49778331	58,28580000	11,49825001
715	18	12	10	14	40	37	05		-83	-65	-47	-12	10																																									-31	-37	-45	-28	-10																																									-44	-15	-13	-3	-4																																									5	-7	-1	-9	-1																																									89	75	65	30	14																																									249,50	240,40	226,20	203,20	135,00																																									2222	1568	-1547	2203	134,60	58,28576664	11,49829997	58,28550001	11,49884999
716	18	12	10	14	40	58	06		-88	-98	-59	-45	-9																																									-63	-37	-64	-21	-11																																									-30	-15	-6	10	-16																																									17	-16	13	12	-7																																									108	105	87	50	14																																									234,40	249,30	222,70	245,00	219,30																																									2239	1630	-1459	2187	131,80	58,28546665	11,49891671	58,28526665	11,49934997
717	18	12	10	14	41	17	01		-105	-94	-56	-41	-30																																									-232	-210	-12	20	-3																																									9	26	-15	-11	-13																																									-100	-121	25	0	-1																																									255	230	57	46	30																																									204,40	204,10	257,90	296,00	264,30																																									1985	1568	-1276	2022	129,10	58,28523329	11,49941669	58,28501671	11,49993335
718	18	12	10	14	41	38	02		-110	-112	-90	-55	-31																																									-3	18	-12	-8	1																																									-38	-14	-12	-11	5																																									-1	6	12	29	-23																																									110	113	91	56	31																																									268,40	279,10	262,40	261,70	271,80																																									1563	1385	-967	1689	124,90	58,28500003	11,49998331	58,28483331	11,50038337
719	18	12	10	14	41	59	03		-136	-93	-83	-51	-20																																									2	29	24	23	16																																									-27	-8	-9	-4	6																																									-14	29	10	-11	-5																																									136	97	86	56	26																																									270,80	287,30	286,10	294,30	308,70																																									1209	1025	-442	1116	113,30	58,28481663	11,50041665	58,28476667	11,50071664
720	18	12	10	14	42	17	08		-120	-115	-79	-33	-26																																									87	92	54	28	6																																									-34	-10	-2	-9	0																																									14	-16	0	-11	-28																																									148	147	96	43	27																																									305,90	308,70	304,40	310,30	283,00																																									913	1039	-193	1057	100,50	58,28474999	11,50076668	58,28473331	11,50110003
721	18	12	10	14	42	39	00		-68	-63	-47	-36	-35																																									135	132	82	49	14																																									-29	-22	-14	-9	-10																																									-48	-10	-28	-3	-10																																									151	146	95	61	38																																									333,30	334,50	330,20	323,70	291,80																																									620	535	486	723	47,80	58,28474999	11,50111671	58,28480003	11,50128334
722	18	12	10	14	42	57	04		-39	-22	-42	-3	-9																																									135	118	81	32	7																																									-21	-14	-5	-9	-1																																									37	-3	1	9	11																																									141	120	91	32	11																																									343,90	349,40	332,60	354,60	307,90																																									437	245	271	365	42,10	58,28480003	11,50130002	58,28484999	11,50138333
723	18	12	10	14	43	18	06		-86	-64	-58	-20	-37																																									115	141	101	58	24																																									-10	-18	4	0	10																																									-8	-13	12	7	26																																									144	155	116	61	44																																									323,20	335,60	330,10	341,00	303,00																																									366	70	486	491	8,20	58,28486667	11,50138333	58,28491663	11,50140001
724	18	12	10	14	43	37	00		-80	-52	-62	-21	-19																																									109	112	81	42	39																																									-7	-7	-3	0	1																																									5	4	12	10	6																																									135	123	102	47	43																																									323,70	335,10	322,60	333,40	334,00																																									140	20	116	118	10,00	58,28491663	11,50141669	58,28494999	11,50140001
725	18	12	10	14	43	58	02		-82	-47	-41	-9	6																																									103	92	55	28	22																																									-8	-7	-11	-8	3																																									-10	3	27	7	2																																									132	103	69	29	23																																									321,50	332,90	323,30	342,20	15,30																																									232	122	232	262	27,80	58,28494999	11,50140001	58,28498335	11,50144997
726	18	12	10	14	44	19	03		-58	-59	-32	-32	-8																																									97	83	67	38	13																																									-10	-16	-10	-14	-1																																									18	28	0	2	11																																									113	102	74	50	15																																									329,10	324,60	334,50	319,90	328,40																																									321	209	177	274	49,90	58,28498335	11,50146665	58,28501671	11,50150001
727	18	12	10	14	44	37	08		-58	-60	-29	-33	-13																																									126	134	87	68	35																																									-14	-11	-14	-1	-5																																									-26	-14	17	-23	5																																									139	147	92	76	37																																									335,30	335,90	341,60	334,10	339,60																																									321	143	310	341	24,70	58,28503330	11,50150001	58,28508334	11,50154997
728	18	12	10	14	44	58	09		-49	0	-31	-19	-9																																									121	112	69	51	25																																									4	-3	-5	-9	3																																									-26	-16	-10	-5	3																																									131	112	76	54	27																																									338,00	0,00	335,80	339,60	340,20																																									225	-116	309	330	339,40	58,28510002	11,50154997	58,28513330	11,50151669
729	18	12	10	14	45	17	04		-38	-37	-33	-14	-11																																									84	109	82	36	36																																									-4	-9	-8	-10	2																																									6	10	-5	-15	-4																																									92	115	88	39	38																																									335,70	341,30	338,10	338,70	343,00																																									158	-183	-77	199	247,10	58,28513330	11,50151669	58,28513330	11,50144997
730	18	12	10	14	45	38	05		-36	-49	-18	2	-8																																									115	94	69	6	0																																									-6	-12	-1	-3	-8																																									-5	-9	4	3	-5																																									121	106	71	6	8																																									342,60	332,50	345,40	18,40	270,00																																									121	-256	44	260	279,80	58,28513330	11,50144997	58,28514998	11,50138333
731	18	12	10	14	45	57	00		-53	-25	-33	-18	-8																																									86	102	62	30	9																																									-10	-14	-10	-7	-3																																									-1	-5	-13	-2	-7																																									101	105	70	35	12																																									328,40	346,20	332,00	329,00	318,40																																									187	-61	-154	166	201,60	58,28514998	11,50138333	58,28510002	11,50136665
732	18	12	10	14	46	18	01		-49	-26	-23	-16	9																																									103	98	93	46	24																																									-20	-11	-9	-5	2																																									25	-2	1	-21	10																																									114	101	96	49	26																																									334,60	345,10	346,10	340,80	20,60																																									72	0	-232	232	180,00	58,28510002	11,50134997	58,28506666	11,50136665
733	18	12	10	14	46	39	03		-80	-68	-27	-18	-14																																									94	118	92	53	26																																									-21	-6	-18	-10	-5																																									13	12	9	3	5																																									123	136	96	56	30																																									319,60	330,00	343,60	341,20	331,70																																									94	-70	133	150	332,20	58,28506666	11,50136665	58,28508334	11,50134997
734	18	12	10	14	46	57	07		-23	174	-8	-10	-6																																									132	115	91	61	28																																									-28	-69	-13	-12	-3																																									-12	-133	0	4	-5																																									134	209	91	62	29																																									350,10	56,50	355,00	350,70	347,90																																									212	-163	39	168	283,30	58,28508334	11,50134997	58,28508334	11,50130002
735	18	12	10	14	47	18	09		-43	81	120	-8	-20																																									141	113	26	46	12																																									-4	-48	-71	0	2																																									9	-61	-60	-14	-4																																									147	139	123	47	23																																									343,00	35,60	77,80	350,10	301,00																																									322	-233	-133	268	240,30	58,28508334	11,50130002	58,28506666	11,50123330
736	18	12	10	14	47	37	03		-2	134	207	223	1																																									130	84	45	34	17																																									-9	-49	-64	-76	-6																																									-10	-78	-122	-155	4																																									130	158	212	226	17																																									359,10	57,90	77,70	81,30	3,40																																									319	-326	0	326	270,00	58,28506666	11,50121670	58,28506666	11,50110003
737	18	12	10	14	47	58	05		-40	293	63	-7	112																																									119	112	80	49	42																																									-14	-110	-38	-16	-41																																									-1	-227	-123	-23	-107																																									126	314	102	49	120																																									341,40	69,10	38,20	351,90	69,40																																									164	-303	0	303	270,00	58,28506666	11,50110003	58,28506666	11,50101663
738	18	12	10	14	48	17	00		-3	309	-11	-22	-9																																									103	91	75	42	18																																									-9	-105	-20	-10	-9																																									-12	-234	-17	13	-11																																									103	322	76	47	20																																									358,30	73,60	351,70	332,40	333,40																																									141	-142	77	162	298,50	58,28506666	11,50101663	58,28506666	11,50096667
739	18	12	10	14	48	38	01		-41	-21	-15	-15	5																																									96	110	68	49	37																																									-13	-14	-6	-4	-1																																									6	-1	7	5	-20																																									104	112	70	51	37																																									336,90	349,20	347,60	343,00	7,70																																									123	-123	-78	145	237,70	58,28506666	11,50096667	58,28504998	11,50093331
740	18	12	10	14	48	59	02		379	383	401	427	414																																									84	109	73	34	7																																									-9	-2	-7	-5	7																																									22	-35	10	-3	-2																																									388	398	408	428	414																																									77,50	74,10	79,70	85,40	89,00																																									156	-47	-133	141	199,40	58,28504998	11,50093331	58,28503330	11,50091663
741	18	12	10	14	49	17	07		-83	-36	-39	-13	-27																																									106	112	76	49	16																																									-16	-16	-3	-7	-3																																									19	14	8	10	13																																									135	118	85	51	31																																									321,90	342,20	332,80	345,10	300,70																																									197	-143	-39	148	254,80	58,28503330	11,50091663	58,28501671	11,50086667
742	18	12	10	14	49	38	08		-71	-48	-31	-5	-20																																									111	94	68	25	20																																									-17	-18	-6	1	7																																									24	9	-7	2	-2																																									132	106	75	25	28																																									327,40	332,90	335,50	348,70	315,00																																									201	-187	-133	229	234,60	58,28501671	11,50084999	58,28498335	11,50081663
743	18	12	10	14	49	57	03		-71	-40	-27	-29	-20																																									82	80	68	58	-2																																									-14	-6	-13	15	5																																									6	-17	-4	0	-7																																									108	89	73	65	20																																									319,10	333,40	338,30	333,40	264,30																																									175	-204	-232	309	221,30	58,28496667	11,50080004	58,28494999	11,50075000
744	18	12	10	14	50	18	04		-61	-35	-170	-59	-8																																									86	93	81	53	14																																									-6	-5	38	20	1																																									-7	-17	126	45	-2																																									105	99	188	79	16																																									324,70	339,40	295,50	311,90	330,30																																									132	-70	-133	150	207,80	58,28494999	11,50075000	58,28493331	11,50073332
745	18	12	10	14	50	36	09		-48	-313	-151	-2	-5																																									94	105	59	43	5																																									-9	79	26	-7	5																																									-34	173	122	0	4																																									106	330	162	43	7																																									332,90	288,50	291,30	357,30	315,00																																									64	0	-77	77	180,00	58,28493331	11,50073332	58,28491663	11,50073332
746	18	12	10	14	50	58	00		-126	-154	-230	-216	-194																																									93	109	0	51	22																																									7	15	58	49	62																																									26	82	113	130	160																																									157	189	230	222	195																																									306,40	305,30	270,00	283,30	276,50																																									73	-61	116	131	332,20	58,28493331	11,50073332	58,28493331	11,50071664
747	18	12	10	14	51	19	02		-58	-74	-44	-13	-26																																									83	90	72	35	12																																									-6	0	-7	-6	4																																									-9	-6	-10	-18	-2																																									101	117	84	37	29																																									325,10	320,60	328,60	339,60	294,80																																									141	-70	177	190	338,40	58,28493331	11,50071664	58,28496667	11,50070004
748	18	12	10	14	51	37	06		-106	-54	-45	-24	-21																																									100	81	51	25	13																																									-10	-12	-14	-9	-4																																									12	16	17	-5	-6																																									146	97	68	35	25																																									313,30	326,30	318,60	316,20	301,80																																									183	-20	193	194	354,00	58,28496667	11,50070004	58,28498335	11,50068336
