"Series Data"
"C:\Data\SMARC_20170927\SMARC_20170927006_000000.STA"
"Broadband 153.6 kHz"
"Pings/Ens ="	8
"Time/Ping = 00:01.00"
"First Ensemble Date = 18/12/10"
"First Ensemble Time = 10:42:36.08"
"Ensemble Interval (s) = "	20,00
"1st Bin Range (m) = "	14,95
"Bin Size (m) ="	8,00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"BTM"	"NVE"	"NVN"	"NVM"	"NVD"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
22	18	12	10	10	49	36	09		23	65																																												53	13																																												-94	-35																																												7	31																																												58	66																																												23,50	78,70																																												5303	-5163	-206	5167	267,70	58,26381669	11,40281668	58,26380001	11,40123334
23	18	12	10	10	49	57	00		7	12																																												-30	93																																												-115	-41																																												-17	23																																												31	94																																												166,90	7,40																																												5303	-5272	-309	5281	266,60	58,26380001	11,40105003	58,26374997	11,39943332
24	18	12	10	10	50	17	01		37	45																																												33	57																																												-33	51																																												-6	-4																																												50	73																																												48,30	38,30																																												5230	-5163	-172	5166	268,10	58,26374997	11,39925001	58,26371670	11,39766667
25	18	12	10	10	50	37	03		17	9																																												37	-12																																												-119	-70																																												20	23																																												41	15																																												24,70	143,10																																												5262	-5126	-413	5143	265,40	58,26370002	11,39748336	58,26364998	11,39591670
26	18	12	10	10	50	57	04		4																																													38																																													-110																																													-46																																													38																																													6,00																																													5357	-5217	-791	5277	261,40	58,26363330	11,39573330	58,26351671	11,39413336
27	18	12	10	10	51	17	05																																																																																																																																																																																																																																																																																5316	-5200	-928	5282	259,90	58,26350003	11,39394997	58,26334999	11,39236663
28	18	12	10	10	51	37	06		-288																																													268																																													-45																																													-101																																													393																																													312,90																																													5284	-5200	-894	5276	260,20	58,26333331	11,39219999	58,26318336	11,39041666
29	18	12	10	10	51	57	07		47	1	-17																																											-73	-97	-105																																											-177	-118	-91																																											46	16	43																																											87	97	106																																											147,20	179,40	189,20																																											5218	-5095	-735	5148	261,80	58,26316668	11,39025003	58,26306668	11,38885000
30	18	12	10	10	52	16	08		10	-157																																												5	29																																												0	56																																												42	-59																																												11	160																																												63,40	280,50																																												5226	-5163	-619	5200	263,20	58,26305000	11,38866669	58,26295001	11,38690003
31	18	12	10	10	52	38	01		40	-133																																												-31	147																																												-89	-69																																												-12	-22																																												51	198																																												127,80	317,90																																												5248	-5128	-310	5137	266,50	58,26295001	11,38673332	58,26289997	11,38514997
32	18	12	10	10	52	58	02		-205	-292																																												223	290																																												83	135																																												-36	-87																																												303	412																																												317,40	314,80																																												5211	-5163	-138	5165	268,50	58,26288337	11,38496666	58,26288337	11,38340000
33	18	12	10	10	53	18	03		42	7																																												-43	-22																																												-16	52																																												13	-23																																												60	23																																												135,70	162,30																																												5181	-5127	-103	5128	268,80	58,26288337	11,38321669	58,26286669	11,38165003
34	18	12	10	10	53	38	04		58	55																																												-14	-12																																												-208	-154																																												30	-1																																												60	56																																												103,60	102,30																																												5116	-5091	-103	5092	268,80	58,26286669	11,38148331	58,26285001	11,37991665
35	18	12	10	10	53	58	05		21	26																																												-21	27																																												2	62																																												67	13																																												30	37																																												135,00	43,90																																												4997	-5001	-103	5002	268,80	58,26285001	11,37973334	58,26283333	11,37821663
36	18	12	10	10	54	18	07		72	70																																												-95	-17																																												-120	-97																																												33	-4																																												119	72																																												142,80	103,70																																												4980	-4892	-241	4898	267,20	58,26283333	11,37805000	58,26278337	11,37654997
37	18	12	10	10	54	38	08		35	27																																												41	13																																												-93	-35																																												-22	-36																																												54	30																																												40,50	64,30																																												4920	-4856	103	4857	271,20	58,26278337	11,37638334	58,26279997	11,37488332
38	18	12	10	10	54	58	09		23	90	188																																											-82	-85	-52																																											-155	-132	-116																																											-7	0	8																																											85	124	195																																											164,30	133,40	105,50																																											5061	-4939	-44	4939	269,50	58,26279997	11,37471668	58,26281665	11,37335001
39	18	12	10	10	55	17	00		-312	-377	-526																																											158	250	322																																											109	163	211																																											41	42	63																																											350	452	617																																											296,90	303,50	301,50																																											4919	-4929	69	4929	270,80	58,26281665	11,37316670	58,26281665	11,37149996
